Talk,Laugh,Eat,Read,Kiss,Write,Mumble,Cry,Argue,Jump,Sleep,Shout,Run,Belch,Fight,,
6.21,6.23,4.23,7.27,2.1,8.17,3.62,2.21,5.33,1.79,3.6,1.94,2.52,1.77,1.21,Class,
8.56,8,7.79,2.88,8.73,3.62,3.12,3.04,4.5,4.42,3.77,3.79,5,2.23,3.58,Date,
8.08,7.1,5.48,7.17,4.27,4.87,5.17,3.08,4.17,3.12,7.04,3,1.44,2.15,1.52,Bus,
8.52,7.13,8.44,3.96,4.92,2.58,2.54,3.21,3.25,2.29,2.29,1.96,2.56,2.5,1.67,Family dinner,
8.42,8.1,8.13,7.77,7.71,7,5.4,5.21,5.06,7.42,5.63,6.92,7.94,5,3.06,Park,
3.29,2.6,1.38,3.58,2.38,2.85,3.52,3.13,1.92,1.71,1.77,1.33,1.38,1.42,0.62,Church,
8.46,5.88,1.73,2.48,1.08,4.85,1.31,1.37,1.83,1.48,0.75,1.65,1.94,1.21,1.04,Job interview,
8.19,7.4,4.83,4.81,4.75,3.38,4.96,3.71,4.08,3.54,1.46,4.88,5.58,2.81,1.46,Sidewalk,
4.98,7.94,7.48,1.73,6.21,2.73,4.13,7.15,1.71,2.31,4.08,2.42,2.46,2.58,1.37,Movies,
8.25,8.23,7.67,4.71,5.17,5.38,6.21,3.44,4.31,3.75,2.9,4.13,1.96,5.04,1.9,Bar,
7.4,6.77,5.1,4.48,4.79,3.04,5.12,3.48,2.58,2.12,1.31,1.73,1.63,2.54,1.58,Elevator,
7.25,5.9,2.35,4.75,2.81,3.46,5.04,4.79,3.48,3.65,2.83,3.52,2.83,5.12,1.77,Restroom,
8.58,8.17,7.94,8.58,8.52,8.29,7.67,8,7.52,6.73,8.85,6.44,6.15,6.81,4.25,Own room,
7.88,7.75,7.19,8.56,6.54,7.73,5.5,3.88,4.88,4.58,6.08,3.6,4.4,4,2.4,Dorm lounge,
8.08,7.9,8.04,3.69,5.08,4.56,5.23,4.31,4.98,7.12,2.98,7.94,4.12,3.85,2.04,Football game,
112.15,105.1,87.78,76.42,75.06,72.51,68.54,60.01,59.6,56.03,55.34,55.25,51.91,49.03,29.47,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Talk,6.21,8.56,8.08,8.52,8.42,3.29,8.46,8.19,4.98,8.25,7.4,7.25,8.58,7.88,8.08,112.15
Laugh,6.23,8,7.1,7.13,8.1,2.6,5.88,7.4,7.94,8.23,6.77,5.9,8.17,7.75,7.9,105.1
Eat,4.23,7.79,5.48,8.44,8.13,1.38,1.73,4.83,7.48,7.67,5.1,2.35,7.94,7.19,8.04,87.78
Read,7.27,2.88,7.17,3.96,7.77,3.58,2.48,4.81,1.73,4.71,4.48,4.75,8.58,8.56,3.69,76.42
Kiss,2.1,8.73,4.27,4.92,7.71,2.38,1.08,4.75,6.21,5.17,4.79,2.81,8.52,6.54,5.08,75.06
Write,8.17,3.62,4.87,2.58,7,2.85,4.85,3.38,2.73,5.38,3.04,3.46,8.29,7.73,4.56,72.51
Mumble,3.62,3.12,5.17,2.54,5.4,3.52,1.31,4.96,4.13,6.21,5.12,5.04,7.67,5.5,5.23,68.54
Cry,2.21,3.04,3.08,3.21,5.21,3.13,1.37,3.71,7.15,3.44,3.48,4.79,8,3.88,4.31,60.01
Argue,5.33,4.5,4.17,3.25,5.06,1.92,1.83,4.08,1.71,4.31,2.58,3.48,7.52,4.88,4.98,59.6
Jump,1.79,4.42,3.12,2.29,7.42,1.71,1.48,3.54,2.31,3.75,2.12,3.65,6.73,4.58,7.12,56.03
Sleep,3.6,3.77,7.04,2.29,5.63,1.77,0.75,1.46,4.08,2.9,1.31,2.83,8.85,6.08,2.98,55.34
Shout,1.94,3.79,3,1.96,6.92,1.33,1.65,4.88,2.42,4.13,1.73,3.52,6.44,3.6,7.94,55.25
Run,2.52,5,1.44,2.56,7.94,1.38,1.94,5.58,2.46,1.96,1.63,2.83,6.15,4.4,4.12,51.91
Belch,1.77,2.23,2.15,2.5,5,1.42,1.21,2.81,2.58,5.04,2.54,5.12,6.81,4,3.85,49.03
Fight,1.21,3.58,1.52,1.67,3.06,0.62,1.04,1.46,1.37,1.9,1.58,1.77,4.25,2.4,2.04,29.47
,Class,Date,Bus,Family dinner,Park,Church,Job interview,Sidewalk,Movies,Bar,Elevator,Restroom,Own room,Dorm lounge,Football game,
